,E,I,R,t
0,-0.057958357,-0.33886218,-0.38516685,0.0
1,0.41547102,0.22772563,0.5607289,1.0
2,0.44960353,0.13722348,-0.3025164,2.0
3,-0.013192691,-0.06308377,0.17058611,3.0
4,0.09285671,-0.49581695,0.28197524,4.0
5,0.08282011,-0.96857977,-0.66280353,5.0
6,0.20179617,-0.15975642,-0.7743378,6.0
7,0.34548485,0.20415074,-0.10915832,7.0
8,0.48919773,0.5683744,0.55571824,8.0
9,0.53665996,-0.55277634,0.30996296,9.0
10,1.0000124,1.5847831,-0.4352355,10.0
11,1.3611729,1.0488901,2.6353083,11.0
12,1.1189603,0.6060309,1.5526798,12.0
13,0.87676775,0.1630134,0.4701523,13.0
14,0.63454705,-0.28032053,-0.6126718,14.0
15,0.5309363,-0.049634933,-1.2934134,15.0
16,0.45754412,0.3278792,-1.8865695,16.0
17,0.39362428,0.63577634,-2.1569238,17.0
18,0.39947695,0.23104823,-0.11998108,18.0
19,0.5255552,0.41078675,2.2659652,19.0
20,0.90903,0.7433663,2.8255804,20.0
21,1.3849262,1.2256224,1.0576952,21.0
22,2.0693057,2.586319,-0.56134105,22.0
23,3.5631592,5.619723,-0.9869812,23.0
24,5.212943,7.1683855,-0.54464626,24.0
25,6.8741255,8.977479,-0.09948096,25.0
26,8.542572,11.110925,0.32196262,26.0
27,10.21105,13.244212,0.74305284,27.0
28,11.879537,15.3784485,1.164711,28.0
29,13.547982,17.511894,1.5860205,29.0
30,15.280478,20.327587,2.6682878,30.0
31,17.202387,24.273607,5.151519,31.0
32,20.072653,28.161718,10.996688,32.0
33,24.534193,31.965973,7.8363876,33.0
34,29.375237,40.09724,2.40027,34.0
35,35.083332,46.92098,3.933038,35.0
36,40.822132,54.31668,5.415556,36.0
37,46.560963,61.71175,6.897869,37.0
38,52.43794,70.05314,8.447223,38.0
39,58.876003,78.10245,10.019472,39.0
40,65.31402,86.15112,11.591548,40.0
41,71.75208,94.201385,13.163866,41.0
42,78.19015,102.24991,14.735778,42.0
43,84.62808,110.29811,16.308165,43.0
44,90.076965,117.39794,21.573935,44.0
45,95.52461,124.497925,26.84436,45.0
46,100.97225,131.59712,32.11488,46.0
47,106.419876,138.69711,37.38516,47.0
48,111.86754,145.79567,42.655487,48.0
49,117.31515,152.89534,47.925774,49.0
50,122.7628,159.99486,53.196426,50.0
51,128.21042,167.09343,58.467037,51.0
52,133.6581,174.19357,63.737392,52.0
53,139.10567,181.29198,69.00774,53.0
54,144.55333,188.39244,74.27826,54.0
55,150.00096,195.49069,79.54861,55.0
56,155.44858,202.59067,84.81902,56.0
57,160.89618,209.69066,90.08935,57.0
58,166.34383,216.78923,95.35993,58.0
59,171.79146,223.88826,100.63021,59.0
60,177.2391,230.98778,105.90081,60.0
61,182.6867,238.08682,111.17108,61.0
62,189.27466,243.13231,100.75704,62.0
63,196.68661,252.62016,88.87394,63.0
64,204.3945,263.76822,76.55128,64.0
65,212.10251,274.91708,64.22883,65.0
66,219.8105,286.06512,51.90582,66.0
67,226.60179,296.2604,52.04748,67.0
68,233.0387,303.02527,55.013386,68.0
69,239.47557,309.78857,57.979057,69.0
70,245.91827,316.8202,60.85925,70.0
71,252.43712,327.2629,62.646976,71.0
72,258.95612,337.70673,64.435425,72.0
73,265.4749,348.14835,66.22272,73.0
74,271.57385,353.54904,69.273735,74.0
75,267.2895,347.88965,101.76239,75.0
76,263.00507,342.22995,134.25107,76.0
77,258.7205,336.571,166.74011,77.0
78,254.43617,330.91037,199.22806,78.0
79,250.1518,325.25082,231.71664,79.0
80,245.86768,319.5908,264.2038,80.0
81,241.58301,313.93158,296.69315,81.0
82,237.29854,308.2714,329.18256,82.0
83,233.01437,302.61185,361.66916,83.0
84,230.15215,298.42627,353.626,84.0
85,227.34229,294.44086,344.16995,85.0
86,224.53313,290.4537,334.7159,86.0
87,221.72337,286.4678,325.26086,87.0
88,218.91373,282.4813,315.8056,88.0
89,216.1041,278.4957,306.35034,89.0
90,213.29456,274.50903,296.8951,90.0
91,210.48524,270.52203,287.44086,91.0
92,207.67583,266.53598,277.9856,92.0
93,204.8662,262.54913,268.53094,93.0
94,202.05661,258.56308,259.07632,94.0
95,199.24734,254.5764,249.62152,95.0
96,195.32758,248.99185,252.32147,96.0
97,190.03702,244.63809,268.15823,97.0
98,184.74638,240.28545,283.99484,98.0
99,179.45557,235.93233,299.832,99.0
100,174.1658,231.57826,315.66672,100.0
101,168.8752,227.22545,331.503,101.0
102,162.76283,223.3087,362.17557,102.0
103,157.60399,212.53183,409.66245,103.0
104,152.47246,201.65038,457.29208,104.0
105,147.34087,190.7689,504.92157,105.0
106,141.91121,182.30965,547.7667,106.0
107,141.53432,182.10492,543.3395,107.0
108,141.5,182.22864,536.2375,108.0
109,141.46576,182.35158,529.1356,109.0
110,141.43152,182.47452,522.0343,110.0
111,141.39723,182.59698,514.9323,111.0
112,141.363,182.71976,507.83112,112.0
113,141.32874,182.84222,500.72974,113.0
114,141.29454,182.96516,493.62894,114.0
115,141.26022,183.08873,486.52646,115.0
116,141.22603,183.21056,479.4255,116.0
117,139.54756,183.5993,502.80472,117.0
118,135.84999,179.58351,572.589,118.0
