,S,E,I,R,t
54,225873.59512088227,1049.4075645044165,138485.24592265015,58634591.751391925,272.7272727272727
55,225209.6867665827,817.560763806459,108367.86424523953,58665604.88822434,277.77777777777777
56,224691.53199942785,637.5335058769823,84797.90579282035,58689873.028701834,282.8282828282828
57,224286.91169248745,497.5124821393353,66352.926770958,58708862.64905436,287.8787878787879
58,223970.81408768188,388.46636199277185,51919.14266692423,58723721.57688334,292.9292929292929
59,223723.78971811922,303.4569296040241,40624.59702076484,58735348.15633145,297.979797979798
60,223530.69432151885,237.13328908117106,31786.74314345945,58744445.429245874,303.030303030303
61,223379.7235479131,185.35602444156922,24871.353267682673,58751563.56715989,308.0808080808081
62,223261.668825719,144.91512823864213,19460.320980322547,58757133.09506564,313.1313131313131
63,223169.34192801983,113.31655319522513,15226.440639940216,58761490.90087875,318.1818181818182
64,223097.12887821367,88.61959923690804,11913.656589670176,58764900.594932795,323.2323232323232
65,223040.64344739594,69.31235160653362,9321.599115162016,58767568.44508575,328.28282828282823
66,222996.45759299517,54.21584615553747,7293.478714218003,58769655.847846545,333.3333333333333
67,222961.89148683051,42.410074549449746,5706.61009083046,58771289.0883477,338.38383838383834
68,222934.84980992417,33.17669361891614,4464.995649380257,58772566.977846995,343.4343434343434
69,222913.69401921812,25.954568343776867,3493.521173994605,58773566.830238365,348.48484848484844
70,222897.14262251506,20.30521276374083,2733.413499596611,58774349.13866504,353.5353535353535
71,222884.19327980326,15.885886701613883,2138.685769867752,58774961.23506355,358.58585858585855
72,222874.06194272693,12.428632497696247,1673.3561512671697,58775440.15327342,363.6363636363636
73,222866.1352781412,9.723922033434363,1309.2711607706517,58775814.869638965,368.68686868686865
74,222859.93347667265,7.60789433818132,1024.4026006942008,58776108.0560282,373.73737373737373
75,222855.0811715225,5.9523887531417525,801.5149501560179,58776337.451489486,378.78787878787875
76,222851.28469620633,4.657159285897242,627.1226614889688,58776516.93548294,383.83838383838383
77,222848.3142970679,3.6437891295525557,490.67428002212307,58776657.3676337,388.88888888888886
78,222845.9902205534,2.850934295762051,383.91407859694345,58776767.244766474,393.93939393939394
79,222844.17183009567,2.2306046422056616,300.3825711713272,58776853.214994,398.98989898989896
80,222842.74909302685,1.7452559124704694,235.02572027753402,58776920.47993069,404.04040404040404
81,222841.63591960256,1.3655151050133385,183.8891166588603,58776973.10944855,409.09090909090907
82,222840.7649529538,1.0684017309768785,143.87874428886036,58777014.28790095,414.1414141414141
83,222840.08349256587,0.8359363172323259,112.57377637302537,58777046.506794676,419.19191919191917
84,222839.55030498916,0.6540519181151359,88.08010402774671,58777071.71553899,424.2424242424242
85,222839.1331286656,0.5117426197578595,68.91573605045791,58777091.4393926,429.2929292929293
86,222838.8067216382,0.40039736487638283,53.92112844220741,58777106.871752486,434.3434343434343
87,222838.55133421047,0.3132788174114967,42.18902967272358,58777118.94635723,439.3939393939394
88,222838.35151389905,0.24511563152382734,33.00958748518574,58777128.393782906,444.4444444444444
89,222838.19517039566,0.1917834436082423,25.827397958196816,58777135.78564813,449.4949494949495
90,222838.07284401578,0.15005528818849873,20.207901155870633,58777141.569199465,454.5454545454545
91,222837.9771333219,0.11740634896638964,15.811088188789162,58777146.094372064,459.5959595959596
92,222837.90224728448,0.09186115847531803,12.37092890905029,58777149.634962566,464.6464646464646
93,222837.84365488696,0.07187407495172446,9.679275703104151,58777152.40519525,469.6969696969697
94,222837.79781096935,0.05623577580743801,7.573269401681993,58777154.572683774,474.7474747474747
95,222837.7619417282,0.04400004702416835,5.925485655762803,58777156.26857249,479.7979797979798
96,222837.73387688174,0.03442655812441912,4.636224904563225,58777157.59547157,484.8484848484848
97,222837.71191835654,0.026936060883200042,3.627480104737965,58777158.6336654,489.89898989898984
98,222837.69473754455,0.02107533956713799,2.838216881118808,58777159.44597016,494.9494949494949
99,222837.68129491605,0.016489788210049577,2.2206806998161706,58777160.08153452,500.0
