,S,E,I,R,t
86,219969.28,-44.61083,-10731.938,58801704.0,434.3434343434343
87,219885.2,-106.65369,-15367.277,58807028.0,439.3939393939394
88,219745.06,-179.58125,-19995.744,58812564.0,444.44444444444434
89,219632.95,-242.71257,-24621.46,58817948.0,449.4949494949495
90,219478.81,-304.75546,-29278.795,58823610.0,454.5454545454545
91,219324.66,-370.06372,-33930.63,58829090.0,459.59595959595964
92,219212.55,-437.54892,-38576.97,58834550.0,464.6464646464646
93,219058.4,-509.38803,-43191.688,58839988.0,469.6969696969697
94,218904.25,-576.8732,-47832.523,58845596.0,474.74747474747466
95,218778.12,-637.82764,-52476.113,58851004.0,479.7979797979798
96,218666.03,-700.959,-57093.582,58856400.0,484.8484848484848
97,218469.83,-774.975,-61755.04,58862030.0,489.8989898989897
98,218357.72,-838.1063,-66401.375,58867530.0,494.94949494949486
99,218161.53,-907.7685,-71075.2,58873216.0,500.0
